C:\Users\Usuario\Downloads\PROYECTO - SENATI.xlsx, 02/10/2023, 19:21:44, Usuario, Cerrado
C:\Users\Usuario\Downloads\PROYECTO - SENATI.xlsx, 02/10/2023, 19:22:56, Usuario, Abierto
C:\Users\Usuario\Downloads\PROYECTO - SENATI.xlsx, 02/10/2023, 19:23:07, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 02/10/2023, 20:57:00, Usuario, Cerrado
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 02/10/2023, 20:57:07, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 03/10/2023, 8:02:24, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 03/10/2023, 8:02:25, Usuario, Abierto
C:\Users\Usuario\Downloads\Nueva carpeta (2)\042 - Evento OnKey para ejecutar macros con combinación de teclas.xlsm, 03/10/2023, 8:39:31, Usuario, Abierto
C:\Users\Usuario\Downloads\Nueva carpeta (2)\042 - Evento OnKey para ejecutar macros con combinación de teclas.xlsm, 03/10/2023, 8:40:08, Usuario, Cerrado
C:\Users\Usuario\Downloads\diabetes.csv, 03/10/2023, 9:05:49, Usuario, Abierto
C:\Users\Usuario\Downloads\diabetes.csv, 03/10/2023, 9:05:53, Usuario, Cerrado
C:\Users\Usuario\Downloads\Nueva carpeta (2)\043 - Usar Formulas y funciones desde macros.xlsm, 03/10/2023, 9:45:26, Usuario, Abierto
C:\Users\Usuario\Downloads\Nueva carpeta (2)\043 - Usar Formulas y funciones desde macros.xlsm, 03/10/2023, 9:46:20, Usuario, Cerrado
C:\Users\Usuario\Downloads\MC512 A_B - LISTA DE ALUMNOS.xls, 03/10/2023, 10:21:03, Usuario, Abierto
C:\Users\Usuario\Downloads\MC512 A_B - LISTA DE ALUMNOS.xls, 03/10/2023, 10:23:48, Usuario, Cerrado
C:\Users\Usuario\Downloads\MS213 D - LISTA DE ALUMNOS.xls, 03/10/2023, 10:24:31, Usuario, Abierto
C:\Users\Usuario\Downloads\MS213 D - LISTA DE ALUMNOS.xls, 03/10/2023, 10:25:13, Usuario, Cerrado
C:\Users\Usuario\Downloads\Nueva carpeta (2)\044 - Cuadros de diálogo Abrir archivo GetOpenFilename - EXCELeINFO.xlsm, 03/10/2023, 16:31:06, Usuario, Abierto
C:\Users\Usuario\Downloads\Nueva carpeta (2)\044 - Cuadros de diálogo Abrir archivo GetOpenFilename - EXCELeINFO.xlsm, 03/10/2023, 16:34:32, Usuario, Cerrado
Libro1, 03/10/2023, 17:02:19, Usuario, Cerrado
Libro2, 03/10/2023, 18:17:26, Usuario, Cerrado
Libro2, 03/10/2023, 18:17:53, Usuario, Cerrado
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 03/10/2023, 18:18:00, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 03/10/2023, 18:18:00, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 04/10/2023, 9:18:26, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 04/10/2023, 9:18:34, Usuario, Abierto
Libro1, 04/10/2023, 9:21:55, Usuario, Cerrado
C:\Users\Usuario\Downloads\Nueva carpeta (2)\CUADRODIALOGOABRIR-GUARDAR.xlsm, 04/10/2023, 11:18:09, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 04/10/2023, 11:43:42, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 04/10/2023, 11:43:42, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 04/10/2023, 18:27:23, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 04/10/2023, 18:27:23, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 05/10/2023, 10:32:16, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 05/10/2023, 10:32:20, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 05/10/2023, 19:14:14, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 05/10/2023, 19:14:14, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 06/10/2023, 8:51:35, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 06/10/2023, 8:51:38, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 06/10/2023, 17:31:58, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 06/10/2023, 17:31:58, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 08/10/2023, 12:33:37, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 08/10/2023, 12:33:40, Usuario, Abierto
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 08/10/2023, 16:39:25, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 08/10/2023, 16:39:30, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 08/10/2023, 17:54:56, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 08/10/2023, 17:54:56, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 09/10/2023, 9:39:23, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 09/10/2023, 9:39:26, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 09/10/2023, 17:21:49, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 09/10/2023, 17:21:49, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 10/10/2023, 8:42:08, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 10/10/2023, 8:42:12, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 10/10/2023, 17:02:22, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 10/10/2023, 17:02:22, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 10/10/2023, 17:02:34, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 10/10/2023, 17:02:37, Usuario, Abierto
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 10/10/2023, 20:43:38, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 10/10/2023, 20:43:41, Usuario, Abierto
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 11/10/2023, 9:17:33, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 11/10/2023, 9:17:36, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 11/10/2023, 19:02:02, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 11/10/2023, 19:02:02, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 11/10/2023, 19:34:33, Usuario, Abierto
C:\Users\Usuario\Desktop\alumnoingresante_dirce.xls, 11/10/2023, 19:34:35, Usuario, Abierto
D:\OneDrives\SenatiOneDrive\OneDrive - SENATI\UNIALUMNO-PROFESORESGMAIL\correos alumnos_1 20231(1).xls, 11/10/2023, 19:37:14, Usuario, Abierto
C:\Users\Usuario\Downloads\Correos(1).xlsx, 11/10/2023, 20:00:20, Usuario, Abierto
C:\Users\Usuario\Downloads\Correos(1).xlsx, 11/10/2023, 20:00:33, Usuario, Cerrado
D:\OneDrives\SenatiOneDrive\OneDrive - SENATI\UNIALUMNO-PROFESORESGMAIL\correos alumnos_1 20231(1).xls, 11/10/2023, 20:03:25, Usuario, Cerrado
C:\Users\Usuario\Documents\Correos.xlsx, 11/10/2023, 20:03:36, Usuario, Cerrado
C:\Users\Usuario\Desktop\alumnoingresante_dirce.xls, 11/10/2023, 20:03:37, Usuario, Cerrado
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 11/10/2023, 20:03:39, Usuario, Cerrado
Libro1, 11/10/2023, 20:03:39, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 11/10/2023, 20:03:43, Usuario, Abierto
C:\Users\Usuario\Downloads\Correos.xlsx, 11/10/2023, 20:03:43, Usuario, Abierto
C:\Users\Usuario\Downloads\REPORTE DE USUARIOS - ALUMNOS.xlsx, 11/10/2023, 20:05:31, Usuario, Abierto
C:\Users\Usuario\Downloads\Correos.xlsx, 11/10/2023, 20:06:47, Usuario, Cerrado
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 11/10/2023, 20:08:36, Usuario, Cerrado
C:\Users\Usuario\Downloads\REPORTE DE USUARIOS - ALUMNOS.xlsx, 11/10/2023, 20:08:36, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 11/10/2023, 20:08:51, Usuario, Abierto
C:\Users\Usuario\Downloads\Correos(2).xlsx, 11/10/2023, 20:08:51, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 11/10/2023, 20:09:07, Usuario, Cerrado
